"Location";"Source"
"188155806-0-192";"Kill the Slave Lord Rendrasa at the Slaver's Camp."
"188155806-0-193";"Discover and clear all six caves in Shadowfen."
"188155806-0-194";"Find Bleakrock's missing villagers and send them home."
"188155806-0-195";"Kill the champion of the Strifeswarm kwama hive."
"188155806-0-196";"Enter the Cave of Memories and destroy the Ashlander Guardian."
"188155806-0-197";"Survive the mudcrabs of Shipwreck Strand and kill Shellcracker, the cannibal crab."
"188155806-0-198";"Storm the beach at Matron's Clutch, slay the Dreugh Matrons, and end the threat of the Dreugh egg-tenders."
"188155806-0-199";"Destroy the Golden Saint at the Shivering Shrine."
"188155806-0-200";"Defeat the bull netch Ozzacha in Brahma's Grove."
"188155806-0-201";"Destroy Balreth and return the Brother of Strife to slumber."
"188155806-0-202";"Explore and clear the Inner Sea Armature."
"188155806-0-203";"Explore and clear Emberflint Mine."
"188155806-0-204";"Slay General Serien and stop the Covenant invasion of Stonefalls."
"188155806-0-205";"Explore and clear Mephala's Nest."
"188155806-0-206";"Explore and clear Hightide Hollow."
"188155806-0-207";"Explore and clear Softloam Cavern."
"188155806-0-208";"Explore and clear Sheogorath's Tongue."
"188155806-0-209";"Destroy Sadal and save Stonefalls."
"188155806-0-210";"Kill the great werewolf, Rageclaw, at Rageclaw's Den."
"188155806-0-211";"Kill the Breton necromancer, Vivien Armene, at the Dragon Mound."
"188155806-0-212";"Kill the vampire, Olveidi the Ratmaster, at the Ratmaster's Prowl."
"188155806-0-213";"Kill the wild mammoth, Mannskadi, at Dragon's Hallow."
"188155806-0-214";"Kill the great sabre cat, Ammabani, at Ammabani's Pride."
"188155806-0-215";"Explore and clear Ilessan Tower."
"188155806-0-216";"Explore and clear Silumm."
"188155806-0-217";"Explore and clear Enduum."
"188155806-0-218";"Explore and clear the Mines of Khuras."
"188155806-0-219";"Explore and clear the Ebon Crypt."
"188155806-0-220";"Explore and clear Cryptwatch Fort."
"188155806-0-221";"Explore and clear Portdun Watch."
"188155806-0-222";"Explore and clear Koeglin Mine."
"188155806-0-223";"Explore and clear the Pariah Catacombs."
"188155806-0-224";"Explore and clear Farangel's Delve."
"188155806-0-225";"Explore and clear the Bearclaw Mine."
"188155806-0-226";"Explore and clear the Norvulk Ruins."
"188155806-0-227";"Explore and clear Crestshade Mine."
"188155806-0-228";"Explore and clear the Flyleaf Catacombs."
"188155806-0-229";"Explore and clear the Tribulation Crypt."
"188155806-0-230";"Explore and clear Orc's Finger Ruins."
"188155806-0-231";"Explore and clear the Erokii Ruins."
"188155806-0-232";"Explore and clear Hildune's Secret Refuge."
"188155806-0-245";"Explore and clear the Atanaz Ruins."
"188155806-0-246";"Explore and clear Broken Tusk."
"188155806-0-247";"Explore and clear the Chid-Moska Ruins."
"188155806-0-248";"Explore and clear Gandranen."
"188155806-0-249";"Explore and clear the Onkobra Kwama Mine."
"188155806-0-250";"Explore and clear the Shrine of the Black Maw."
"188155806-0-251";"Explore and clear the Chill Hollow."
"188155806-0-252";"Explore and clear Icehammer's Vault."
"188155806-0-253";"Explore and clear Old Sord's Cave."
"188155806-0-254";"Explore and clear the Frigid Grotto."
"188155806-0-255";"Explore and clear Stormcrag Crypt."
"188155806-0-256";"Explore and clear the Bastard's Tomb."
"188155806-0-257";"Kill the great bear, Beralagr, at Swiftblade's Camp."
"188155806-0-258";"Destroy Thjormar and the Drowned Horde at Bitterpoint Strand."
"188155806-0-259";"Kill the Orc reaver Dugan the Red."
"188155806-0-260";"Kill the strangler Bone Grappler in its nest."
"188155806-0-261";"Kill the Nereid queen Tallatta the Lustrous in the Jagged Grotto."
"188155806-0-262";"Kill Skullbreaker the sea troll at Windshriek Strand."
"188155806-0-263";"Kill Commander Faldethil of the Green Hunters at River Edge."
"188155806-0-264";"Explore and clear Lady Llarel's Shelter."
"188155806-0-265";"Explore and clear the ruins of Lower Bthanual."
"188155806-0-266";"Explore and clear the Triple Circle Mine."
"188155806-0-267";"Explore and clear Taleon's Crag."
"188155806-0-268";"Explore and clear Knife Ear Grotto."
"188155806-0-269";"Explore and clear the Corpse Garden."
"188155806-0-270";"Discover and clear all six caves in Deshaan."
"188155806-0-272";"Defeat Ganakton the Tempest, Sliklenia the Songstress, and Sellistrix the Lamia Queen in Arx Corinium."
"188155806-0-274";"Explore and clear Dead Man's Drop."
"188155806-0-275";"Kill the giant kagouti, Short-Tusk, at Short-Tusk's Hillock."
"188155806-0-276";"Kill the corpse husk, the Abomination, at the Grove of the Abomination."
"188155806-0-277";"Kill the giant troll, Sharpfang, at the Dire Bramblepatch."
"188155806-0-278";"Destroy the Mabrigash Shade at the Mabrigash Burial Circle."
"188155806-0-279";"Kill the Dremora ritualist, Druitularg, at Druitularg's Ritual Altar."
"188155806-0-280";"Kill the giant guar, Bittergreen the Wild, at Caravan Crest."
"188155806-0-281";"Explore and clear the Black Vine Ruins."
"188155806-0-282";"Explore and clear the Roots of Silvenar."
"188155806-0-283";"Uncover the Hound's Plan to lure the Green Lady to Silvenar."
"188155806-0-284";"Save the Silvenar from his captors."
"188155806-0-285";"Unite the Silvenar with the Green Lady."
"188155806-0-286";"Explore and clear the Shael Ruins."
"188155806-0-287";"Discover and clear all six caves in Auridon."
"188155806-0-288";"Explore and clear Del's Claim."
"188155806-0-289";"Explore and clear Ondil."
"188155806-0-290";"Explore and clear Entila's Folly."
"188155806-0-291";"Explore and clear Wansalen."
"188155806-0-292";"Explore and clear Mehrunes' Spite."
"188155806-0-293";"Explore and clear Bewan."
"188155806-0-294";"Defeat the Goblin War Chief and the Dreugh King in Fungal Grotto I."
"188155806-0-296";"Discover and clear all six caves in Malabal Tor."
"188155806-0-297";"Explore and clear the Tomb of the Apostates."
"188155806-0-298";"Explore and clear the Hoarvor Pit."
"188155806-0-299";"Defeat three of the champions in Sanguine's Demesne."
"188155806-0-300";"Defeat all six champions in Sanguine's Demesne."
"188155806-0-301";"Defeat the Swarm Mother and the Whisperer in Spindleclutch I."
"188155806-0-303";"Defeat Kathutet, Amkaos, and Ranyu, Molag Bal's torturers, at a Dark Anchor."
"188155806-0-304";"Defeat Glut, Hogshead, and Stumble, the three Ogrim Brothers, at a Dark Anchor."
"188155806-0-305";"Defeat Velehk Sain, the Dremora pirate, at a Dark Anchor."
"188155806-0-306";"Defeat Methats, Vonshala, and Sumeer, the Dremora travelers, at a Dark Anchor."
"188155806-0-307";"Defeat Menta Na, Molag Bal's most favored Daedroth, at a Dark Anchor."
"188155806-0-308";"Defeat Yggmanei the Ever-Open Eye, Molag Bal's greatest spy, at a Dark Anchor."
"188155806-0-309";"Defeat the Daedroth Hrelvesuu at a Dark Anchor."
"188155806-0-310";"Defeat Rhagothan, the Devourer of Souls, at a Dark Anchor."
"188155806-0-311";"Defeat Nomeg Haga, the giant Frost Atronach of Coldharbour, at a Dark Anchor."
"188155806-0-312";"Defeat Zymel Hriz, the giant Storm Atronach of Coldharbour, at a Dark Anchor."
"188155806-0-313";"Defeat Anaxes and Medrike, the Xivilai torturers, at a Dark Anchor."
"188155806-0-314";"Defeat Vika, Dylora, and Jansa, the Dark Seducer sisters, at a Dark Anchor."
"188155806-0-315";"Defeat King Styriche of Verkarth and his companions, Fangaril and Zayzahad, at a Dark Anchor."
"188155806-0-316";"Defeat Lord Dregas Volar, the holder of the Daedric Crescent, at a Dark Anchor."
"188155806-0-317";"Defeat Gedna Relvel, the Lich of Mournhold, at a Dark Anchor."
"188155806-0-318";"Destroy all of Molag Bal's generals that appear at the Dark Anchors."
"188155806-0-322";"Release the Dark Anchor pinions to send the chains back to Coldharbour."
"188155806-0-324";"Destroy 10 Dark Anchors from Coldharbour."
"188155806-0-325";"Defeat Shadowrend and High Kinlord Rilis in Banished Cells I."
"188155806-0-328";"Discover and clear all six caves in the Rift."
"188155806-0-329";"Explore and clear Faldar's Tooth."
"188155806-0-330";"Explore and clear Broken Helm Hollow."
"188155806-0-331";"Explore and clear Avanchnzel."
"188155806-0-332";"Explore and clear Fort Greenwall."
"188155806-0-333";"Explore and clear Shroud Hearth Barrow."
"188155806-0-334";"Explore and clear Snapleg Cave."
"188155806-0-335";"Crush the Reach's presence in the Rift."
"188155806-0-336";"Defeat Thallik Wormfather and scatter the Worm Cult."
"188155806-0-337";"Return Sinmur to his grave."
"188155806-0-340";"Defeat Mephala's Fang, Gamyne Bandu, Ciirenas the Sheperd, Spawn of Mephala, Reggr Dark-Dawn, and Vila Theran in Veteran Fungal Grotto II within twenty minutes of starting the dungeon. Timer starts when players engage the first group of Spider Cultists."
"188155806-0-342";"Defeat Vila Theran in Veteran Fungal Grotto II without any member of your party using the protection of the Obsidian Husk."
"188155806-0-343";"Defeat Gamyne Bandu, the Spawn of Mephala, and Vila Theran in Veteran Fungal Grotto II."
"188155806-0-345";"Defeat Indur-sa and the Khajiiti Hunters at the Hunter Camp."
"188155806-0-346";"Defeat the trolls, Frostdrool and Sleetclaw, at the Troll Cave."
"188155806-0-347";"Defeat the Frost Atronach, Nomeg Rine, at the Frozen Ruins."
"188155806-0-348";"Put Ghoragham to rest at Angarvunde Mound."
"188155806-0-349";"Defeat Longstride the Giant and his Mammoth at the Giant Camp."
"188155806-0-350";"Banish Aereus the Wispmother from Wisplight Glen."
"188155806-0-351";"End the threat of the necromancers at Soulfire Plateau and avenge the First Auridon Marines."
"188155806-0-352";"Defeat Quenyas, leader of Auridon's bandit gangs, in the camp at Seaside Scarp."
"188155806-0-353";"Destroy Ghost Captain Blanchete at the Wreck of the Raptor."
"188155806-0-354";"Defeat the clannfear champion, Snapjaw, and end the murder of innocents at Heretic's Summons."
"188155806-0-355";"Defeat the giant snake known as the Nestmother in her den."
"188155806-0-356";"Defeat Anarume at the Heritance Proving Ground and end his treason."
"188155806-0-357";"Defeat the Guardian of the Flame, the Empowered Frost Atronach, and Drodda of Icereach at Direfrost Keep."
"188155806-0-360";"Execute the traitor at Tanzelwil in the name of Queen Ayrenn."
"188155806-0-361";"Infiltrate the Veiled Heritance and discover its secret."
"188155806-0-362";"Defeat the Daedric army and their leader at Firsthold."
"188155806-0-363";"Kill Merdyndril the Alchemist at Obsidian Gorge and put an end to the Llodos plague."
"188155806-0-364";"Free the Tribunal Temple from invading Daedric forces."
"188155806-0-365";"Kill Magistrix Vox at Eidolon's Hollow and restore peace to Deshaan."
"188155806-0-367";"Defeat three of the champions in Crow's Wood."
"188155806-0-368";"Defeat all of Crow's Wood's champions."
"188155806-0-369";"Defeat three of the champions in the Forgotten Crypts."
"188155806-0-370";"Defeat all of the champions in the Forgotten Crypts."
"188155806-0-371";"Defeat  the Lonely Giant and his angry mammoths in the Lion's Den."
"188155806-0-372";"Defeat Fight-Master Grel and his adepts at Sanguine's Demesne."
"188155806-0-373";"Defeat three of the champions in the Lion's Den."
"188155806-0-374";"Defeat all of the champions in the Lion's Den."
"188155806-0-375";"Defeat three of the champions in the Hall of the Dead."
"188155806-0-376";"Defeat all of the champions in the Hall of the Dead."
"188155806-0-377";"Defeat three of the champions in Obsidian Scar."
"188155806-0-378";"Defeat all of the champions in Obsidian Scar."
"188155806-0-379";"Destroy the Soul Wraiths to summon and slay Ghyslain in Crow's Wood."
"188155806-0-380";"Slay the Giant Snake Mother in Bad Man's Hallows."
"188155806-0-381";"Defeat Reynir the Destroyer and his minions in the Hall of the Dead."
"188155806-0-382";"Kill the giant bear Graufang at Seaview Point."
"188155806-0-383";"Defeat the lurcher Limbscather at the Western Overlook."
"188155806-0-384";"Kill the werewolf, Salazar the Wolf, at the Wolf's Camp."
"188155806-0-385";"Defeat the Bloodthorn zombie, Asard the Putrid, at North Shore Point."
"188155806-0-386";"Defeat the wamasu, Trapjaw, at Trapjaw's Cove."
"188155806-0-387";"Defeat the necromancer, Grivier Bloodcaller, at Balefire Island."
"188155806-0-388";"Eradicate the Kwama infestation and kill the Kwama Guardians in the Forgotten Crypts."
"188155806-0-389";"Defeat three of the champions in Toothmaul Gully."
"188155806-0-390";"Defeat all of the champions in Toothmaul Gully."
"188155806-0-391";"Defeat Quintus Verres, Tremorscale, and the Guardian Council at Volenfell."
"188155806-0-393";"Defeat the Pack, the Beast Master, and the Lava Queen at the Blessed Crucible."
"188155806-0-395";"Defeat three of the champions in the Lost City of the Na-Totambu."
"188155806-0-396";"Defeat all of the champions in the Lost City of the Na-Totambu."
"188155806-0-397";"Find all 16 Skyshards in Stonefalls."
"188155806-0-398";"Find all 3 Skyshards in Bleakrock."
"188155806-0-399";"Defeat Titanclaw the mudcrab at Mudcrab Beach."
"188155806-0-400";"Defeat Old Widow Silk and the Bloodweaver spiders at the Spider Nest."
"188155806-0-401";"Defeat the Dreugh Brood Queen at the Dreugh Waters."
"188155806-0-402";"Defeat the Daedroth Gar Xuu Gar and his minions at the Abandoned Farm."
"188155806-0-403";"Defeat the Ogre called Cousin Scrag at Scrag's Larder."
"188155806-0-404";"Defeat Zymel Kruz the Storm Atronach at the Ancient Altar."
"188155806-0-405";"Find all 3 Skyshards in Bal Foyen."
"188155806-0-406";"Jump from the nose of the Weeping Giant."
"188155806-0-407";"Find all 3 Skyshards in Stros M'Kai."
"188155806-0-408";"Find all 3 Skyshards in Betnikh."
"188155806-0-409";"Find all 16 Skyshards in Glenumbra."
"188155806-0-410";"Defeat Atarus, the Roost Mother, and Captain Blackheart in Blackheart Haven."
"188155806-0-412";"Explore and clear the Santaki Ruins."
"188155806-0-413";"Discover and clear all six caves in the Alik'r Desert."
"188155806-0-414";"Explore and clear Divad's Chagrin Mine."
"188155806-0-415";"Recruit all three famous privateers on Stros M'Kai."
"188155806-0-416";"Explore and clear the Aldunz Ruins."
"188155806-0-417";"Defeat Longclaw, Foulhide, and Selene in Selene's Web."
"188155806-0-419";"Explore and clear Coldrock Diggings."
"188155806-0-420";"Explore and clear the Sandblown Mine."
"188155806-0-421";"Defeat the Blood Golem, Praxin's Ghost, and Vorenor Winterbourne in Veteran Spindleclutch II."
"188155806-0-423";"Explore and clear the Yldzuun Ruins."
"188155806-0-424";"Discover and clear all six caves in Eastmarch."
"188155806-0-425";"Destroy the tainted plant creatures at Deathsong Cleft in Reaper's March."
"188155806-0-426";"Defeat Big Ozur the Ogre in Big Ozur's Valley."
"188155806-0-427";"Defeat the Queen of Three Mercies and her entourage at Waterdancer Falls in Reaper's March."
"188155806-0-428";"Defeat Gravecaller Niramo and his dark daughter Varien at the Reaper's Henge."
"188155806-0-429";"Defeat the Daedroth, Ysolmarr the Roving Pyre, near the Old S'ren-ja Docks in Reaper's March."
"188155806-0-430";"Defeat the vampire, Overlord Nur-dro, at Ushmal's Rest in Reaper's March."
"188155806-0-431";"Find all 6 Skyshards in Khenarthi's Roost."
"188155806-0-432";"Explore and clear Aba-Loria."
"188155806-0-433";"Explore and clear the Grotto of Depravity."
"188155806-0-434";"Explore and clear the Cave of Trophies."
"188155806-0-435";"Explore and clear the Vault of Haman Forgefire."
"188155806-0-436";"Explore and clear Mal Sorra's Tomb."
"188155806-0-437";"Explore and clear the Wailing Maw."
"188155806-0-438";"Discover and clear all six caves in Coldharbour."
"188155806-0-439";"Defeat the daedroth, Sthorha the Crazed, at Aba-Darre."
"188155806-0-440";"Defeat the ice wraith, Duriatundur, at Duriatundur's Killing Field."
"188155806-0-441";"Defeat the ancient Dwarven Centurion, Zemarek-thul, at Zemarek's Hollow."
"188155806-0-442";"Defeat the daedroth trio, Nolagha, Keggahiha and Rsolignah, at the Daedroth Larder."
"188155806-0-443";"Defeat the Dremora necromancer, Brolsgerbwd, at the Risen Court."
"188155806-0-444";"Defeat the harvester, Cynhamoth, at Cynhamoth's Grove."
"188155806-0-445";"Defeat the undead hordes of Hergor the Fallen at Rulanyil's Fall."
"188155806-0-446";"Defeat Mad Mortine, Bloodspawn, Praxin Douare, the Flesh Atronach trio, Urvan Veleth, and Vorenor Winterbourne in Veteran Spindleclutch II within twenty minutes of starting the dungeon. Timer starts when players engage the first group of Thralled warriors."
"188155806-0-448";"Defeat Vorenor Winterbourne in Veteran Spindleclutch II without killing any of the innocent victims held captive in his lair."
"188155806-0-449";"In Veteran Banished Cells II, defeat Keepers Imiril, Areldur, and Voranil, as well as the Maw of the Infernal and the Sisters Sihna and Vera, before defeating High Kinlord Rilis, all within twenty minutes. Timer starts upon engaging the first group of Banished skeletons."
"188155806-0-451";"In Veteran Banished Cells II, defeat High Kinlord Rilis while three or more Daedroth still live."
"188155806-0-452";"Discover and clear all six caves in Reaper's March."
"188155806-0-453";"Explore and clear Kuna's Delve."
"188155806-0-454";"Explore and clear Thibaut's Cairn."
"188155806-0-455";"Explore and clear the Weeping Wind Cave."
"188155806-0-456";"Explore and clear Claw's Strike."
"188155806-0-457";"Explore and clear Fardir's Folly."
"188155806-0-458";"Explore and clear Jode's Light."
"188155806-0-459";"Defeat Dark Root, Murklight, and Bogdan the Nightflame in Veteran Elden Hollow II."
"188155806-0-460";"Defeat Flat Tooth and his minions at Crimson Cove."
"188155806-0-461";"Defeat Dubroze the Infestor, Dark Root, Azara the Frightener, Murklight, the Shadow Guard, and Bogdan the Nightflame in Veteran Elden Hollow II within twenty minutes of starting the dungeon. Timer starts when players engage the first group of Daedra."
"188155806-0-463";"Defeat Bogdan the Nightflame after reading the Opus of Torment in Veteran Elden Hollow II."
"188155806-0-464";"Defeat the Transmuted Hive Lord, Grobull the Transmuted, and the Engine Guardian in Veteran Darkshade Caverns II."
"188155806-0-465";"Defeat the Fallen Foreman, the Hive Lord and its Scribs, the Transmuted Alit, Grobull the Transmuted, the Engine Garrison, and the Engine Guardian in Veteran Darkshade Caverns II, all within twenty minutes. Timer starts upon engaging the first group of kwama."
"188155806-0-467";"Defeat the Engine Guardian in Veteran Darkshade Caverns II without anyone in your group activating an Engine Lever."
"188155806-0-468";"Destroy Bloodroot and its guardians at Toothmaul Gully."
"188155806-0-469";"Defeat the damned creations of Graccus' frost experiments at the Vile Manse."
"188155806-0-470";"Defeat the Bonemonger and its captors in Root Sunder Ruins."
"188155806-0-471";"Catch all 12 rare fish in Glenumbra."
"188155806-0-472";"Catch all 12 rare fish in Stormhaven."
"188155806-0-473";"Catch all 12 rare fish in Rivenspire."
"188155806-0-474";"Catch all 12 rare fish in Alik'r Desert."
"188155806-0-475";"Catch all 12 rare fish in Bangkorai."
"188155806-0-476";"Complete all Daggerfall Covenant fishing achievements."
"188155806-0-477";"Catch all 12 rare fish in Stonefalls."
"188155806-0-478";"Catch all 12 rare fish in Deshaan."
"188155806-0-479";"Catch all 12 rare fish in Shadowfen."
"188155806-0-480";"Catch all 12 rare fish in Eastmarch."
"188155806-0-481";"Catch all 12 rare fish in the Rift."
"188155806-0-482";"Complete all Ebonheart Pact fishing achievements."
"188155806-0-483";"Catch all 12 rare fish in Auridon."
"188155806-0-484";"Catch all 12 rare fish in Grahtwood."
"188155806-0-485";"Catch all 12 rare fish in Greenshade."
"188155806-0-486";"Catch all 12 rare fish in Malabal Tor."
"188155806-0-487";"Catch all 12 rare fish in Reaper's March."
"188155806-0-488";"Complete all Aldmeri Dominion fishing achievements."
"188155806-0-489";"Catch all 12 rare fish in Cyrodiil."
"188155806-0-490";"Catch all 12 rare fish in Coldharbour."
"188155806-0-491";"Catch a rare Eltheric Grouper in the saltwaters of Stros M'Kai."
"188155806-0-492";"Catch a rare Pyandonean Ray in the saltwaters of Khenarthi's Roost."
"188155806-0-493";"Catch a rare Inner Sea Scalyfin fish in the saltwaters of Bleakrock."
"188155806-0-494";"Prove yourself a Master Angler completing the achievements listed below."
"188155806-0-495";"Defeat the duneripper, Mother Sands, at the Lost Caravan."
"188155806-0-496";"Defeat the giant, Lonely Papa, at the Giant Camp."
"188155806-0-497";"Defeat the Hag Sisters, Igazkad, Orochar and Ukha, at the Hag Camp."
"188155806-0-498";"Defeat Korignah the harvester in the Forsaken Hearts Cave."
"188155806-0-499";"Defeat the Mummy King at King's Rest."
